nama,harga,penjual,kota,terjual,rating
Seblak Kerupuk Campur Pedas Bumbu Chili Oil 250g Kerupuk Mix Daun Jeruk Seblak Kering Mix Pedas Cemilan Asin Snacks Home Made,Rp13.500,cemilanedan09,Kab. Bandung,750+ terjual,4.6
MEGA SALE 12 Bungkus Bundling Baso Aci isi 6 pcs X Seblak Instan isi 6 pcs Kuah  Pedas Food Mie,Rp27.599,HOME SNACK GRT,Kab. Garut,250+ terjual,4.0
SEBLAK CAMPUR/MIX ORIGINAL kemasan 1kg dan 500gram PS (Pemuda Seblak),Rp44.000,PEMUDASEBLAK,Kab. Garut,250+ terjual,4.5
limie shop - paket 10pcs seblak bumbu cikur pedas gurih,Rp35.000,limie shop,Kab. Bandung,100+ terjual,4.0
250GR Seblak Tetangga Sebring Seblak kering  Rafael Krupuk mawar putih bantat pedas daun jeruk Camilan Snack Food Kerupuk Makanan Goreng Cemilan,Rp13.000,sebringmakyah,Kab. Tuban,10rb+ terjual,4.7
500gram - SEBLAK CAMPUR - [ SEBLAK BETON - SEBLAK ASBES - SEBLAK SISIR - SEBLAK KERUPUK MIE] RENYAH - PEDAS,Rp26.000,kurnia snack.,Kab.Ciamis,750+ terjual,4.7
Seblak Instant Khas Bandung ASLI / Seblak Bandung,Rp19.000,Bibiba Food,Kab. Bandung Barat,1 terjual,
6 bungkus Seblak Instan Komplit Extra Pedas Plus lezat,Rp15.900,Nea Market,Kab. Garut,50+ terjual,4.8
17 pcs sakura seblak jeletot,Rp35.500,harapan6shop,Kab.Ciamis,500+ terjual,4.9
BUNDLING 12 BUNGKUS BASO ACI CUANGKI INSTAN RADJASNACK Kaldu Food Pedas Seblak Ayam Makanan,Rp69.999,UAIFOOD,Kediri,50+ terjual,4.5
paket isi 10 bungkus seblak Instan Pedas Makanan,Rp25.500,NAYFOOD16,Kab. Garut,500+ terjual,4.8
1 BKS Seblak Kemplang Kerupuk Jadoel Instan Food Makanan Pedas Halal Bahan Asli Indonesia Cocok untuk Santai Bareng Keluarga,Rp5.999,Gst tangerang,Jakarta Barat,100+ terjual,4.5
PAKET ICIP CUANKI SEBLAK BASO ACI AYAM SUWIR ISI KOMPLIT,Rp11.969,ENTINFOODS,Kab. Banyumas,3rb+ terjual,4.7
